date,time,raw,moisture_pct,type
2026-05-31,13:40:45,279,82,MANUAL
2026-05-31,13:42:06,281,82,MANUAL
2026-05-31,13:43:18,284,80,MANUAL
2026-05-31,13:43:52,286,80,MANUAL
2026-05-31,13:44:33,276,83,MANUAL
2026-05-31,13:44:55,288,79,MANUAL
2026-05-31,13:46:30,289,79,MANUAL
2026-05-31,14:06:30,300,75,READ
2026-05-31,14:26:31,308,72,READ
2026-05-31,14:46:31,316,69,READ
2026-05-31,15:06:31,323,67,READ
2026-05-31,15:26:32,331,64,READ
2026-05-31,15:46:32,337,62,READ
2026-05-31,16:06:33,346,59,READ
2026-05-31,16:26:33,351,57,READ
2026-05-31,16:46:33,358,54,READ
2026-05-31,17:06:34,361,53,READ
2026-05-31,17:26:34,367,51,READ
2026-05-31,17:46:34,370,50,READ
2026-05-31,18:06:35,375,48,READ
2026-05-31,18:26:35,379,47,READ
2026-05-31,18:46:36,385,45,READ
2026-05-31,19:06:36,390,43,READ
2026-05-31,19:26:36,398,40,READ
2026-05-31,19:45:03,401,39,MANUAL
2026-05-31,19:46:21,401,39,MANUAL
2026-05-31,19:46:40,400,40,MANUAL
2026-05-31,20:06:40,404,38,READ
2026-05-31,20:26:40,408,37,READ
2026-05-31,20:46:41,410,36,READ
2026-05-31,21:06:41,414,35,READ
2026-05-31,21:26:41,416,34,READ
2026-05-31,21:46:42,417,34,READ
2026-05-31,22:05:30,419,33,MANUAL
2026-05-31,22:25:30,421,32,READ
2026-05-31,22:45:30,423,32,READ
2026-05-31,23:05:31,425,31,READ
2026-05-31,23:25:31,427,30,READ
2026-05-31,23:45:32,428,30,READ
2026-06-01,00:05:32,431,29,READ
2026-06-01,00:05:47,248,93,PUMP
2026-06-01,00:07:18,276,83,MANUAL
2026-06-01,00:08:50,292,78,MANUAL
2026-06-01,00:12:20,297,76,MANUAL
2026-06-01,00:32:21,301,75,READ
2026-06-01,00:52:21,303,74,READ
2026-06-01,01:12:22,305,73,READ
2026-06-01,01:32:23,307,72,READ
2026-06-01,01:52:23,310,71,READ
2026-06-01,02:12:24,311,71,READ
2026-06-01,02:32:24,312,71,READ
2026-06-01,02:52:24,313,70,READ
2026-06-01,03:12:25,314,70,READ
2026-06-01,03:32:25,315,70,READ
2026-06-01,03:52:26,317,69,READ
2026-06-01,04:12:26,319,68,READ
2026-06-01,04:32:26,319,68,READ
2026-06-01,04:52:27,322,67,READ
2026-06-01,05:12:27,322,67,READ
2026-06-01,05:32:28,324,66,READ
2026-06-01,05:52:29,325,66,READ
2026-06-01,06:12:29,327,65,READ
2026-06-01,06:32:29,328,65,READ
2026-06-01,06:52:30,330,64,READ
2026-06-01,07:12:30,330,64,READ
2026-06-01,07:32:30,332,64,READ
2026-06-01,07:52:31,332,64,READ
2026-06-01,08:12:31,336,62,READ
2026-06-01,08:32:31,336,62,READ
2026-06-01,08:52:31,339,61,READ
2026-06-01,09:12:32,342,60,READ
2026-06-01,09:32:32,345,59,READ
2026-06-01,09:52:33,345,59,READ
2026-06-01,10:12:33,346,59,READ
2026-06-01,10:32:33,348,58,READ
2026-06-01,10:52:33,349,58,READ
2026-06-01,11:12:34,353,56,READ
2026-06-01,11:22:33,259,89,MANUAL
2026-06-01,11:42:34,310,71,READ
2026-06-01,12:02:35,316,69,READ
2026-06-01,12:22:36,317,69,READ
2026-06-01,12:42:36,318,69,READ
2026-06-01,13:02:36,320,68,READ
2026-06-01,13:22:37,322,67,READ
2026-06-01,13:42:38,322,67,READ
2026-06-01,14:02:38,324,66,READ
2026-06-01,14:22:38,325,66,READ
2026-06-01,14:42:38,327,65,READ
2026-06-01,15:02:39,327,65,READ
2026-06-01,15:22:39,328,65,READ
2026-06-01,15:42:39,328,65,READ
2026-06-01,16:02:39,329,65,READ
2026-06-01,16:22:40,330,64,READ
2026-06-01,16:42:40,332,64,READ
2026-06-01,17:02:40,333,63,READ
2026-06-01,17:22:40,335,63,READ
2026-06-01,17:42:41,336,62,READ
2026-06-01,18:02:42,337,62,READ
2026-06-01,18:22:42,338,61,READ
2026-06-01,18:42:43,339,61,READ
2026-06-01,19:02:43,338,61,READ
2026-06-01,19:22:44,338,61,READ
2026-06-01,19:42:44,338,61,READ
2026-06-01,20:02:44,339,61,READ
2026-06-01,20:22:45,339,61,READ
2026-06-01,20:42:45,339,61,READ
2026-06-01,21:02:45,341,60,READ
2026-06-01,21:22:45,341,60,READ
2026-06-01,21:42:45,343,60,READ
2026-06-01,22:02:46,345,59,READ
2026-06-01,22:22:46,347,58,READ
2026-06-01,22:42:46,348,58,READ
2026-06-01,23:02:47,348,58,READ
2026-06-01,23:22:47,348,58,READ
2026-06-01,23:42:48,349,58,READ
2026-06-02,00:02:49,349,58,READ
2026-06-02,00:22:49,352,57,READ
2026-06-02,00:42:49,353,56,READ
2026-06-02,01:02:49,357,55,READ
2026-06-02,01:22:50,361,53,READ
2026-06-02,01:42:51,362,53,READ
2026-06-02,02:02:51,363,53,READ
2026-06-02,02:22:52,363,53,READ
2026-06-02,02:42:52,364,52,READ
2026-06-02,03:02:52,364,52,READ
2026-06-02,03:22:53,364,52,READ
2026-06-02,03:42:53,365,52,READ
2026-06-02,04:02:54,367,51,READ
2026-06-02,04:22:55,369,51,READ
2026-06-02,04:42:56,371,50,READ
2026-06-02,05:02:56,372,50,READ
2026-06-02,05:22:57,372,50,READ
2026-06-02,05:42:57,374,49,READ
2026-06-02,06:02:58,374,49,READ
2026-06-02,06:22:58,375,48,READ
2026-06-02,06:42:59,376,48,READ
2026-06-02,07:02:59,376,48,READ
2026-06-02,07:22:59,377,48,READ
2026-06-02,07:43:00,377,48,READ
2026-06-02,08:03:01,378,47,READ
2026-06-02,08:23:01,379,47,READ
2026-06-02,08:43:01,380,47,READ
2026-06-02,09:03:02,381,46,READ
2026-06-02,09:23:02,382,46,READ
2026-06-02,09:43:02,382,46,READ
2026-06-02,10:03:02,382,46,READ
2026-06-02,10:23:02,384,45,READ
2026-06-02,10:43:03,384,45,READ
2026-06-02,11:03:03,384,45,READ
2026-06-02,11:23:03,386,45,READ
2026-06-02,11:43:04,386,45,READ
2026-06-02,12:03:04,387,44,READ
2026-06-02,12:23:05,389,44,READ
2026-06-02,12:43:05,389,44,READ
2026-06-02,13:03:05,390,43,READ
2026-06-02,13:23:06,391,43,READ
2026-06-02,13:43:06,392,42,READ
2026-06-02,14:03:07,393,42,READ
2026-06-02,14:23:07,394,42,READ
2026-06-02,14:43:07,395,41,READ
2026-06-02,15:03:08,396,41,READ
2026-06-02,15:23:08,397,41,READ
2026-06-02,15:43:08,399,40,READ
2026-06-02,16:03:09,401,39,READ
2026-06-02,16:23:09,403,39,READ
2026-06-02,16:43:09,405,38,READ
2026-06-02,17:03:09,406,38,READ
2026-06-02,17:23:10,408,37,READ
2026-06-02,17:43:10,410,36,READ
2026-06-02,18:03:11,411,36,READ
2026-06-02,18:23:12,411,36,READ
2026-06-02,18:43:12,412,35,READ
2026-06-02,19:03:12,411,36,READ
2026-06-02,19:23:13,411,36,READ
2026-06-02,19:43:13,411,36,READ
2026-06-02,20:03:14,409,36,READ
2026-06-02,20:23:14,410,36,READ
2026-06-02,20:38:40,295,77,MANUAL
2026-06-02,20:57:36,334,63,MANUAL
2026-06-02,21:17:36,336,62,READ
2026-06-02,21:37:37,338,61,READ
2026-06-02,21:57:37,340,61,READ
2026-06-02,22:17:37,340,61,READ
2026-06-02,22:37:38,341,60,READ
2026-06-02,22:57:38,341,60,READ
2026-06-02,23:17:38,342,60,READ
2026-06-02,23:37:39,341,60,READ
2026-06-02,23:57:39,342,60,READ
2026-06-03,00:17:39,344,59,READ
2026-06-03,00:37:39,342,60,READ
2026-06-03,00:57:39,342,60,READ
2026-06-03,01:17:40,342,60,READ
2026-06-03,01:37:40,341,60,READ
2026-06-03,01:57:40,340,61,READ
2026-06-03,02:17:41,342,60,READ
2026-06-03,02:37:41,344,59,READ
2026-06-03,02:57:41,346,59,READ
2026-06-03,03:17:42,346,59,READ
2026-06-03,03:37:42,347,58,READ
2026-06-03,03:57:42,348,58,READ
2026-06-03,04:17:43,347,58,READ
2026-06-03,04:37:43,347,58,READ
2026-06-03,04:57:44,351,57,READ
2026-06-03,05:17:45,349,58,READ
2026-06-03,05:37:45,349,58,READ
2026-06-03,05:57:46,349,58,READ
2026-06-03,06:17:46,350,57,READ
2026-06-03,06:37:46,349,58,READ
2026-06-03,06:57:47,351,57,READ
2026-06-03,07:17:47,351,57,READ
2026-06-03,07:37:47,352,57,READ
2026-06-03,07:57:47,352,57,READ
2026-06-03,08:17:48,352,57,READ
2026-06-03,08:37:48,353,56,READ
2026-06-03,08:57:49,354,56,READ
